Houston,LosAngeles,Miami,NewYork,Age,Gender,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB,Churn
0.0,1.0,0.0,0.0,63.0,0.0,17.0,73.36,236.0,0.0
0.0,0.0,0.0,1.0,62.0,1.0,1.0,48.76,172.0,0.0
0.0,1.0,0.0,0.0,24.0,1.0,5.0,85.47,460.0,0.0
0.0,0.0,1.0,0.0,36.0,1.0,3.0,97.94,297.0,1.0
0.0,0.0,1.0,0.0,46.0,1.0,19.0,58.14,266.0,0.0
0.0,0.0,0.0,1.0,67.0,0.0,15.0,82.65,456.0,1.0
0.0,0.0,0.0,0.0,30.0,1.0,3.0,73.79,269.0,0.0
0.0,0.0,1.0,0.0,67.0,1.0,1.0,97.7,396.0,1.0
0.0,0.0,1.0,0.0,20.0,1.0,10.0,42.45,150.0,1.0
0.0,1.0,0.0,0.0,53.0,1.0,12.0,64.49,383.0,1.0
0.0,0.0,1.0,0.0,50.0,1.0,5.0,88.49,442.0,0.0
0.0,1.0,0.0,0.0,44.0,0.0,20.0,95.71,295.0,1.0
0.0,0.0,1.0,0.0,34.0,1.0,10.0,90.42,148.0,1.0
0.0,0.0,0.0,0.0,28.0,0.0,13.0,58.48,239.0,1.0
0.0,0.0,0.0,0.0,42.0,0.0,15.0,46.87,233.0,0.0
1.0,0.0,0.0,0.0,55.0,1.0,13.0,61.11,231.0,1.0
0.0,0.0,0.0,1.0,43.0,1.0,8.0,81.4,231.0,1.0
0.0,0.0,0.0,0.0,63.0,0.0,1.0,83.31,198.0,0.0
0.0,0.0,1.0,0.0,31.0,0.0,23.0,63.4,236.0,0.0
0.0,0.0,0.0,0.0,41.0,1.0,1.0,58.76,354.0,0.0
1.0,0.0,0.0,0.0,58.0,1.0,2.0,49.56,429.0,0.0
1.0,0.0,0.0,0.0,64.0,0.0,15.0,99.79,243.0,0.0
0.0,0.0,0.0,0.0,50.0,0.0,23.0,62.45,270.0,1.0
0.0,1.0,0.0,0.0,70.0,0.0,4.0,51.21,389.0,1.0
